endereco,rua,area,quartos,banheiros,vagas,preco
Coqueiros,,46,2,1,1,229000
Pindorama,,46,2,1,1,229000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Alto dos Pinheiros,,52,2,1,1,230000
João Pinheiro,,52,2,1,1,230000
Camargos,,55,2,1,1,230000
Califórnia,,55,2,1,1,230000
São João Batista,,49,2,1,1,230000
Alto dos Pinheiros,,52,2,1,1,230000
João Pinheiro,,52,2,1,1,230000
Salgado Filho,,52.53,2,1,1,233000
Padre Eustáquio,,54,2,1,1,234900
Caiçaras,,49.67,2,1,1,235000
São Cristóvão,,65,2,1,1,235000
Guarani,,63,2,2,1,240000
Heliópolis,,63,2,2,1,240000
Carlos Prates,,46,2,1,0,240000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Itapoã,Rua São Miguel,19.98,1,1,0,200000
União,,40.27,2,1,1,250000
João Pinheiro,,45,2,1,1,144997
Califórnia,,45,2,1,1,144997
Novo Tirol,,44,2,1,1,155000
Jatobá (Barreiro),,44,2,1,1,155000
Bandeirantes (pampulha),,60,2,1,2,189000
Maria Teresa,,47,2,1,1,210000
Califórnia,,48.07,2,1,1,212000
Califórnia,,45,2,1,1,218000
Conjunto Celso Machado,,44,2,1,1,220000
Santa Terezinha,,50,2,1,1,224999
Trevo,,50,2,1,1,224999
Santa Terezinha,,50,2,1,1,224999
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
São João Batista (Venda Nova),,50,2,1,1,215000
São João Batista,,49,2,1,1,215000
Heliópolis,,51.33,2,1,1,215000
Heliópolis,,51,2,1,1,215000
Camargos,,45,2,1,1,220000
Santa Maria,,45,2,1,1,220000
Camargos,,45,2,1,1,220000
Santa Maria,,45,2,1,1,220000
Aarão Reis,,62,3,1,1,220000
Guarani,,62,3,1,1,220000
Santa Mônica,,42.99,2,1,1,220000
Santa Amélia,,42.99,2,1,1,220000
Camargos,,44,2,1,1,220000
Califórnia,,44,2,1,1,220000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Serrano,,45,2,1,1,250000
Centro,,50,2,1,0,250000
São João Batista,,54.46,2,1,1,250000
Nova Gameleira,,57.15,2,2,1,250000
Nova Gameleira,,57.15,2,2,1,250000
Camargos,,45,2,1,1,230000
Califórnia,,45,2,1,1,230000
Barro Preto,Rua dos Tupis,50,2,1,0,220000
Vista Alegre,,45,2,1,1,120000
Camargos,,46.61,2,1,1,240000
Santa Maria,,46.61,2,1,1,240000
São João Batista,,49.43,2,1,1,250000
Candelária,,49.43,2,1,1,250000
Aarão Reis,,62,2,1,1,250000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Camargos,,52,2,1,1,220000
Centro,,50,1,1,0,225000
Santa Branca,,62.47,2,1,1,225000
Santa Terezinha,,42,2,1,1,230000
São Bernardo,,64.97,3,1,1,235000
Heliópolis,,64.97,3,1,1,235000
Prado,,60,2,1,1,240000
Madre Gertrudes,,70,2,1,1,240000
Camargos,,46,2,1,1,240000
Jardim América,,55,2,1,1,240000
Camargos,,48.07,2,1,1,250000
Califórnia,,48.07,2,1,1,250000
São João Batista,,51.26,2,2,0,250000
Diamante (Barreiro),,43.96,2,1,1,250000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Paquetá,,50,2,1,1,200000
Heliópolis,,44.03,2,1,1,200000
Santa Terezinha,,50,2,1,1,209997
Trevo,,50,2,1,1,209997
Centro,,27.83,1,1,0,210000
Inconfidência,,46.1,2,1,1,210000
Glória,,46.1,2,1,1,210000
Gameleira,,43.9,2,1,1,210000
Nova Gameleira,,43.9,2,1,1,210000
São Francisco,,60,2,1,1,210000
Camargos,,55,2,1,1,214995
Califórnia,,55,2,1,1,214995
São Francisco,,45,2,1,1,215000
São João Batista,,50,2,1,1,215000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
